/m/0_00	/m/0hzlz	/organization/organization/geographic_scope
/m/0_0j	/m/02_ggb	/medicine/drug/brands
/m/0_0j	/m/05dmm	/medicine/medical_treatment/used_to_treat
/m/0_0zl	/m/095l0	/people/person/place_of_birth
/m/01_005	/m/07_pf	/people/deceased_person/place_of_death
/m/0100mt	/m/07b_l	/location/location/containedby
/m/0100mt	/m/09c7w0	/location/location/containedby
/m/0100xy	/m/07b_l	/location/location/containedby
/m/0101sw	/m/07b_l	/location/location/containedby
/m/0102h4	/m/07b_l	/location/location/containedby
/m/0102h4	/m/0mrhq	/location/hud_county_place/county
/m/0102h4	/m/0mrhq	/location/location/containedby
/m/0102ly	/m/07b_l	/location/location/containedby
/m/0102ly	/m/0mrhq	/location/hud_county_place/county
/m/0102ly	/m/0mrhq	/location/location/containedby
/m/0102q0	/m/07b_l	/location/location/containedby
/m/01_02r	/m/09qng	/law/inventor/inventions
/m/01_02r	/m/0f2nf	/people/person/place_of_birth
/m/0102sg	/m/07b_l	/location/location/containedby
/m/0105y2	/m/01n_g9	/location/location/contains
/m/0105y2	/m/01vs_yt	/location/location/people_born_here
/m/0105y2	/m/07b_l	/location/location/containedby
/m/0105y2	/m/0mqwh	/location/hud_county_place/county
/m/0105y2	/m/0mqwh	/location/location/containedby
/m/0106_6	/m/02zkpf	/location/location/contains
/m/0106_6	/m/07b_l	/location/location/containedby
/m/0106dv	/m/01tx9m	/location/location/contains
/m/0106dv	/m/07b_l	/location/location/containedby
/m/0106dv	/m/0mqs0	/location/hud_county_place/county
/m/0106dv	/m/0mqs0	/location/location/containedby
/m/0106tc	/m/07b_l	/location/location/containedby
/m/01070n	/m/07b_l	/location/location/containedby
/m/0107m	/m/06035	/location/location/people_born_here
/m/0107nl	/m/09rc9	/location/location/people_born_here
/m/01081	/m/013g3	/people/person/place_of_birth
/m/0108kc	/m/04jpl	/book/newspaper/circulation_areas
/m/01097_	/m/0mq17	/location/hud_county_place/county
/m/01097_	/m/0mq17	/location/location/containedby
/m/01098	/m/04kl78	/medicine/medical_treatment/used_to_treat
/m/01098	/m/0h3h4	/medicine/medical_treatment/used_to_treat
/m/01098q	/m/0mq17	/location/hud_county_place/county
/m/01098q	/m/0mq17	/location/location/containedby
/m/0109c3	/m/0mq17	/location/hud_county_place/county
/m/0109c3	/m/0mq17	/location/location/containedby
/m/0109fz	/m/0mq17	/location/hud_county_place/county
/m/0109fz	/m/0mq17	/location/location/containedby
/m/0109l5	/m/0mq17	/location/hud_county_place/county
/m/0109l5	/m/0mq17	/location/location/containedby
/m/0109vk	/m/03jbv0	/location/location/contains
/m/0109vk	/m/03rq29	/location/location/contains
/m/0109vk	/m/0mpz_	/location/hud_county_place/county
/m/0109vk	/m/0mpz_	/location/location/containedby
/m/0109yb	/m/0mpzm	/location/hud_county_place/county
/m/0109yb	/m/0mpzm	/location/location/containedby
/m/010bk0	/m/03tb1	/organization/organization_founder/organizations_founded
/m/010bnr	/m/02r7l45	/location/location/contains
/m/010bnr	/m/07b_l	/location/location/containedby
/m/010bnr	/m/0mpt8	/location/hud_county_place/county
/m/010bnr	/m/0mpt8	/location/location/containedby
/m/010bsz	/m/0345h	/location/location/containedby
/m/010bxh	/m/03dywv	/location/location/contains
/m/010cp8	/m/0jc7g	/location/hud_county_place/county
/m/010cp8	/m/0jc7g	/location/location/containedby
/m/010crk	/m/0n5j_	/location/hud_county_place/county
/m/010crk	/m/0n5j_	/location/location/containedby
/m/010cw1	/m/0n5j_	/location/hud_county_place/county
/m/010cw1	/m/0n5j_	/location/location/containedby
/m/010cx	/m/0jdd	/people/person/nationality
/m/010d12	/m/0n5j_	/location/location/containedby
/m/010dr	/m/051dp0	/location/location/containedby
/m/010dsp	/m/0n5d1	/location/location/containedby
/m/010f4d	/m/0hzlz	/people/person/nationality
/m/010f4d	/m/0hzlz	/people/person/place_of_birth
/m/010f6q	/m/03qzc6	/location/location/contains
/m/01_0f7	/m/06chf	/film/film/directed_by
/m/01_0f7	/m/06chf	/film/film/produced_by
/m/010fnk	/m/0jcgs	/location/location/containedby
/m/010fvm	/m/0jcgs	/location/hud_county_place/county
/m/010fvm	/m/0jcgs	/location/location/containedby
/m/010fw	/m/0j5g9	/location/location/containedby
/m/01_0fw6	/m/02xry	/location/location/containedby
/m/01_0fw6	/m/0jj10	/location/hud_county_place/county
/m/01_0fw6	/m/0jj10	/location/location/containedby
/m/010fwb	/m/0jcgs	/location/hud_county_place/county
/m/010fwb	/m/0jcgs	/location/location/containedby
/m/010fwq	/m/0jcgs	/location/hud_county_place/county
/m/010fwq	/m/0jcgs	/location/location/containedby
/m/010g87	/m/03rk0	/people/person/nationality
/m/010gj3	/m/0jcjq	/location/hud_county_place/county
/m/010gj3	/m/0jcjq	/location/location/containedby
/m/01_0gwd	/m/0jxgx	/location/hud_county_place/county
/m/01_0gwd	/m/0jxgx	/location/location/containedby
/m/010gwg	/m/0jcky	/location/hud_county_place/county
/m/010gwg	/m/0jcky	/location/location/containedby
/m/01_0gy	/m/035qy	/people/deceased_person/place_of_death
/m/01_0gy	/m/04c1t	/people/person/place_of_birth
/m/010h9l	/m/0jcmj	/location/hud_county_place/county
/m/010h9l	/m/0jcmj	/location/location/containedby
/m/010hcp	/m/0jcmj	/location/hud_county_place/county
/m/010hcp	/m/0jcmj	/location/location/containedby
/m/010hn	/m/02mscn	/music/artist/genre
/m/010j4c	/m/0mpkh	/location/hud_county_place/county
/m/010j4c	/m/0mpkh	/location/location/containedby
/m/010j62	/m/0mpkh	/location/hud_county_place/county
